,YEAR,EIND,TATM,iter,orig_sol,sim_ssp,sim_damages,sim_ecs
300,2065,-0.42412291263809,1.5009936372,5,Temperature,5,6,2.500000
301,2070,-1.3623348569152003,1.4800357034,5,Temperature,5,6,2.500000
302,2075,-2.40752329049917,1.4596738744,5,Temperature,5,6,2.500000
303,2080,-3.14642297706696,1.4382569337,5,Temperature,5,6,2.500000
304,2085,-3.9328204584523996,1.414816733,5,Temperature,5,6,2.500000
305,2090,-4.76218880574413,1.390191854,5,Temperature,5,6,2.500000
306,2095,-5.625352701740343,1.3641253158,5,Temperature,5,6,2.500000
307,2100,-6.506176522673698,1.3362242183,5,Temperature,5,6,2.500000
308,2105,-7.4170384212953,1.3061467652,5,Temperature,5,6,2.500000
309,2110,-8.344446779370003,1.2736446616,5,Temperature,5,6,2.500000
310,2115,-9.270421106644198,1.2384409958,5,Temperature,5,6,2.500000
311,2120,-10.172330429328502,1.2003105957,5,Temperature,5,6,2.500000
312,2125,-11.025034129552001,1.1591065672,5,Temperature,5,6,2.500000
313,2130,-11.8021646931324,1.1147795952,5,Temperature,5,6,2.500000
314,2135,-12.4796755070633,1.0673897728,5,Temperature,5,6,2.500000
315,2140,-13.038000648805301,1.0171147192,5,Temperature,5,6,2.500000
316,2145,-13.465395439814598,0.96424431517,5,Temperature,5,6,2.500000
317,2150,-13.758463503820302,0.90916580161,5,Temperature,5,6,2.500000
318,2155,-13.9225931666807,0.8523333566,5,Temperature,5,6,2.500000
319,2160,-13.969207448362496,0.79423269545,5,Temperature,5,6,2.500000
320,2165,-13.912605714061897,0.73534162205,5,Temperature,5,6,2.500000
321,2170,-13.774178705913299,0.67610098073,5,Temperature,5,6,2.500000
322,2175,-13.569942329888198,0.61690020134,5,Temperature,5,6,2.500000
323,2180,-13.3109830584004,0.55804155761,5,Temperature,5,6,2.500000
324,2185,-13.0049473961138,0.49976178368,5,Temperature,5,6,2.500000
325,2190,-12.657304435446603,0.44225929686,5,Temperature,5,6,2.500000
326,2195,-12.2717762572765,0.38571313361,5,Temperature,5,6,2.500000
327,2200,-11.851744882169399,0.33029349927,5,Temperature,5,6,2.500000
328,2205,-11.074329247872,0.27616903575,5,Temperature,5,6,2.500000
329,2210,-10.3687528359786,0.2235064736,5,Temperature,5,6,2.500000
330,2215,-9.726462640125,0.17428586677,5,Temperature,5,6,2.500000
331,2220,-9.1398830857476,0.12829804945,5,Temperature,5,6,2.500000
332,2225,-8.60184961970258,0.085068980042,5,Temperature,5,6,2.500000
333,2230,-8.10605602305229,0.044194910206,5,Temperature,5,6,2.500000
334,2235,-7.647218479182941,0.0053675796525,5,Temperature,5,6,2.500000
335,2240,-7.221021072614911,-0.031648922821,5,Temperature,5,6,2.500000
336,2245,-6.823969877744739,-0.067040576961,5,Temperature,5,6,2.500000
337,2250,-6.4532332884964605,-0.10095903638,5,Temperature,5,6,2.500000
338,2255,-6.0827060940553395,-0.13353177973,5,Temperature,5,6,2.500000
339,2260,-4.36323731273133,-0.16486869709,5,Temperature,5,6,2.500000
340,2265,-1.9386504061280696,-0.1949208315,5,Temperature,5,6,2.500000
341,2270,0.6115681018031969,-0.21532641609,5,Temperature,5,6,2.500000
342,2275,3.4046715580600395,-0.22102441609,5,Temperature,5,6,2.500000
343,2280,6.69406802641581,-0.21149730159,5,Temperature,5,6,2.500000
344,2285,11.226949769128003,-0.1862309428,5,Temperature,5,6,2.500000
345,2290,20.709810269737094,-0.14326912465,5,Temperature,5,6,2.500000
346,2295,19.787252983809704,-0.076507821646,5,Temperature,5,6,2.500000
347,2300,18.660495809246402,0.040042222304,5,Temperature,5,6,2.500000
348,2015,35.02322216426399,0.85,6,Inequality,3,3,2.500000
349,2020,38.755728940449,1.1181170528,6,Inequality,3,3,2.500000
350,2025,34.262567028750304,1.2612796639,6,Inequality,3,3,2.500000
